,occupation
7855,1
7857,7
7862,
7883,9
7943,12
7996,0
7997,
8008,26
8018,22
8023,0
8039,6
8056,16
8079,14
8095,6
8102,15
8150,7
8177,1
8193,7
8200,
8205,7
8208,7
8216,4
8222,-1
8226,13
8241,7
8261,7
8293,23
8312,6
8313,
8315,
8318,7
8339,0
8361,6
8442,4
8472,7
8479,
8492,
8493,
8509,1
8519,
8544,7
8557,6
8578,10
8580,11
8613,6
8625,26
8640,
8681,0
8693,7
8720,-1
8727,0
8759,7
8763,7
8779,7
8797,13
8801,7
8814,11
8872,22
8878,22
8886,7
8893,
8896,0
8904,11
8934,
8942,1
8963,11
8974,
8977,13
8991,0
9023,0
9035,0
9042,20
9070,1
9084,-1
9103,22
9116,22
9125,1
9137,0
9145,13
9185,-1
9193,7
9205,24
9209,
9214,1
9233,7
9236,13
9238,0
9248,18
9251,1
9268,2
9272,1
9299,0
9301,1
9304,18
9306,
9309,
9313,7
9335,12
9350,4
9351,7
9359,0
9380,0
9389,0
9390,0
9397,1
9419,7
9440,
9446,
9462,
9467,
9476,16
9479,0
9498,0
9503,9
9506,0
9510,1
9527,15
9542,0
9551,10
9559,-1
9592,7
9604,4
9626,0
9678,0
9697,23
9705,
9890,13
9920,14
9934,0
9938,-1
10058,7
10107,
10149,7
10158,
10159,7
10160,7
10178,15
10194,6
10205,13
10243,7
10260,2
10281,7
10301,5
10321,1
10326,23
10331,26
10335,
10365,1
10382,7
10389,1
10413,0
10433,6
10443,7
10450,13
10488,13
10543,15
10592,
10596,13
10604,
10611,7
10644,12
10651,7
10658,17
10664,15
10676,1
10697,7
10698,7
10707,13
10728,0
10734,26
10747,22
10752,22
10761,0
10773,7
10843,2
10849,0
10852,0
10855,7
10879,23
10904,1
10943,0
10944,
10954,13
10969,12
10982,0
11010,
11011,13
11016,0
11025,7
11026,
11036,15
11045,1
11046,15
11065,
11117,6
11199,0
11326,0
11525,11
11533,4
11557,1
11559,0
11617,1
11618,0
11727,12
11762,0
12011,0
12417,26
12441,
12511,4
12680,22
12738,0
13054,13
13146,1
13172,2
13244,15
13309,6
13347,0
13385,0
14211,24
14354,13
14550,0
14561,6
14623,
14641,1
14674,13
14841,0
14860,0
14863,2
14982,6
15004,6
15046,2
15230,0
15281,1
15520,16
15644,14
15751,13
15752,0
16275,0
16365,0
16381,13
16779,6
16800,0
16820,0
17011,
17027,13
17115,11
17797,7
17998,1
18089,9
18111,
18266,
18291,0
18385,1
18409,0
18565,0
18595,0
18606,0
18645,-1
18749,0
18844,0
18973,13
19036,13
19091,
19117,6
19161,13
19259,6
19502,1
19554,7
19607,17
19901,13
20154,9
20292,-1
20303,6
20345,23
20348,1
20418,7
20484,1
20540,4
20604,22
20614,13
20626,
20642,
20669,13
20675,1
20791,5
20807,15
20841,7
20869,2
20985,1
20997,0
21002,22
21122,7
21165,7
21216,22
21232,24
21288,6
21339,0
21363,4
21395,
21439,24
21498,24
21525,9
21548,0
21613,0
21738,1
21779,
21781,1
21800,7
21860,
21891,0
21919,1
22090,0
22292,0
22366,26
22427,
22465,0
22526,0
22552,1
22555,9
22586,
22646,
22663,1
22669,6
22706,24
23203,6
23235,13
23241,1
23458,
23960,0
24032,0
24056,0
24602,0
24895,1
25005,
25241,0
25361,0
25635,14
25758,4
25861,
26004,0
26055,21
26094,12
26121,13
26126,1
26170,0
26241,6
26248,7
26260,
26292,0
26358,1
26447,12
26710,0
26733,1
26795,
26847,-1
26851,0
26863,
26867,7
27017,0
27022,2
27039,-1
27075,
27077,2
27083,22
27106,1
27180,13
27229,7
27303,0
27314,0
27374,6
27495,7
27507,0
27512,21
27517,0
27526,14
27653,-1
27659,0
27667,9
27761,-1
27795,21
27802,1
27810,6
27825,6
27885,26
27924,0
27957,0
28004,14
28030,
28077,0
28086,0
28181,7
28225,0
28235,7
28253,12
28280,0
28299,0
28323,15
28352,1
28451,7
28553,14
28578,0
28615,8
28636,
28697,4
28703,
28810,14
28832,7
28851,
28867,7
28882,6
28967,0
28991,15
29017,-1
29086,0
29089,15
29113,0
29127,10
29130,15
29132,0
29321,7
29359,1
29491,1
29515,7
29543,18
29595,1
29673,0
29732,6
29830,18
29928,0
29949,0
30035,7
30164,7
30185,13
30210,7
30223,11
30261,11
30349,7
30383,9
30408,10
30439,0
30469,
30516,0
30621,8
30690,26
30733,15
31123,0
31149,7
31206,21
31258,9
31296,1
31305,18
31397,4
31407,0
31499,0
31531,7
31552,7
31561,19
31583,13
31659,
31669,0
31716,7
31730,
31748,13
31750,15
31759,
31760,7
31783,12
31791,7
31809,6
31817,9
31820,1
31827,24
31851,1
31860,
31878,
31879,0
31880,7
31894,
31903,1
32115,1
32215,
